PlatformNo,Platform number,Lat,Long,Tag,Top,Cash,,,
38757,Clyde Rd near Totara St,-43.52895,172.58705,393,16,28,,,
10618,Clyde Rd near Wai-iti Tce,-43.51148,172.59007,333,4,80,,,
13086,Clyde Rd near Wai-iti Tce,-43.51083,172.58967,87,3,,,,
33693,Cobham St near Clent Ln,-43.55554,172.60922,977,62,165,,,
22059,Cobham St near Clent Ln,-43.55565,172.60922,409,23,,,,
33601,Cobham St near Evesham Cres,-43.55436,172.61124,197,3,16,,,
22063,Cobham St near Evesham Cres,-43.55457,172.61107,14,1,,,,
42772,Colenso St near Menzies St,-43.5755,172.76299,1609,42,248,,,
42698,Colenso St near Menzies St,-43.57575,172.76314,6,1,,,,
23328,Colombo St and Somerfield St,-43.55623,172.63677,8000,374,927,,,
40616,Colombo St near Bealey Ave,-43.52038,172.63668,1374,40,399,,,
19428,Colombo St near Bealey Ave,-43.52026,172.63652,800,31,,,,
23917,Colombo St near Boon St,-43.55439,172.63693,528,29,117,,,
23955,Colombo St near Byron St,-43.54295,172.63674,1319,34,218,,,
45184,Colombo St near Canon St,-43.51597,172.63667,3238,112,716,,,
19400,Colombo St near Canon St,-43.51531,172.6365,1156,52,,,,
42874,Colombo St near Cass St,-43.54216,172.63659,2790,83,466,,,
23337,Colombo St near Devon St,-43.55341,172.63674,8484,354,1212,,,
23787,Colombo St near Ernlea Tce,-43.56225,172.63706,146,2,17,,,
23550,Colombo St near Fisher Ave,-43.56025,172.63681,2386,58,362,,,
32011,Colombo St near Fisher Ave,-43.56023,172.63698,149,6,,,,
23226,Colombo St near Hastings St W,-43.54888,172.63664,11141,413,1747,,,
23235,Colombo St near King St,-43.55144,172.63672,8039,319,973,,,
23371,Colombo St near Lawson St,-43.54434,172.63659,4090,167,605,,,
23584,Colombo St near Nutfield Ln,-43.56188,172.63687,1495,41,212,,,
19376,Colombo St near Purchas St,-43.5187,172.63651,1527,100,135,,,
37399,Colombo St near Remuera Ave,-43.56611,172.63652,158,3,27,,,
14413,Colombo St near Salisbury St,-43.52413,172.63652,1333,41,360,,,
14180,Colombo St near Salisbury St,-43.5239,172.63669,712,22,,,,
23741,Colombo St near Somerfield St,-43.55639,172.63696,315,12,45,,,
23940,Colombo St near Southampton St,-43.55256,172.63692,1306,70,434,,,
23794,Colombo St near Tennyson St,-43.55882,172.63698,157,7,23,,,
23606,Colombo St near Thorrington Rd,-43.56469,172.63698,5252,175,935,,,
